"Timestamp","How concerned are you about AI models using your music without permission?","Have you ever encountered unauthorized AI-generated versions of your work?","What aspects of AI-generated music concern you the most? (Select all that apply)","Would you use a tool that protects your audio from AI training and replication?","What features would be most important in an AI-protection tool for music? (Rank in order of importance) 
1. Ease of use
2. High-quality, undetectable alterations
3. Compatibility with different file formats
4. Fast processing time
5. Industry recognition & legal backing  ","Would you be open to beta-testing a tool like Dissonance?","If there was software that could imperceptibly manipulate audio to change how it is perceived by AI:
What features would you find most interesting? (Optional)","How would you use this software? (Optional) ","Do you believe such processing could be useful in preventing unauthorised AI training? (Optional)"
"2025/03/10 12:40:51 AM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","2 3 1 5 4","Yes! I’d love to try it","","I would likely run most files that I send or upload anywhere through it in order to prevent corporations from using them for their AI training models.","Yes"
"2025/03/10 12:41:01 AM GMT","Slightly concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;Challenges in maintaining artistic and creative ownership;Potential impact on the music industry and artist livelihoods","Maybe, if it’s easy to use","2, 5, 1, 4, 3","Maybe, I’d need more details","","",""
"2025/03/10 12:48:40 AM GMT","Slightly concerned","No, and I’m not concerned","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Maybe, if it’s easy to use","21345","Maybe, I’d need more details","unable to hear the difference","i'd just use it on everything","yes"
"2025/03/10 12:52:23 AM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","Ease of use and high quality, undetectable alterations are definitely most important, I would happily use a tool like that if it didn’t change too much about the audio quality!","Yes! I’d love to try it","","","It would help curtail the unauthorized training of "
"2025/03/10 2:20:43 AM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Potential impact on the music industry and artist livelihoods","Yes, definitely","5 2 1 4 3","Maybe, I’d need more details","","",""
"2025/03/10 2:35:13 AM GMT","Not concerned at all","No, and I’m not concerned","AI being trained on music without artist consent","Maybe, if it’s easy to use","Easy and high quality","Maybe, I’d need more details","","","Hard to say if ai could learn around it but if it does work well then absolutely"
"2025/03/10 7:36:15 AM GMT","Very concerned","No, but I’m worried about it happening","AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Potential impact on the music industry and artist livelihoods","Maybe, if it’s easy to use","5,1,2,4,3","Maybe, I’d need more details","","",""
"2025/03/10 7:45:48 AM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","from most to least: 2, 5, 1, 3, 4","Yes! I’d love to try it","","","yes"
"2025/03/10 11:18:52 AM GMT","Moderately concerned","No, but I’m worried about it happening","AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Potential impact on the music industry and artist livelihoods","Maybe, if it’s easy to use","2, 3, 1, 4, 5","No, I’m not interested","","In all my music to prevent unauthorised training","Yes"
"2025/03/10 11:20:23 AM GMT","Slightly concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Maybe, if it’s easy to use","2 5 1 3 4","Maybe, I’d need more details","","",""
